客户编号,同一信用代码,本月职位刷新数量,本月职位新增数量,职位总数,渠道,渠道字典,城市,公司规模,行业字典,行业,性质字典,公司性质,电话,本月各职能职位发布累计数量排名前三,各职能职位累计发布数量排名前三
a000001,no company,0,0,5,[gj],"[[], [], [], [], [], [gj_106264114]]",[],"[{""from"":10000,""to"":-1}]",[10],[金融/银行/投资/基金/证券],[3],[国企],,[],"[{""qty"":3,""jname"":""综合金融理财规划师（双休）"",""contacts"":[{""name"":""龙经理"",""mobile"":""18011040517"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":3,""jname"":""五百强企业招募区域经理"",""contacts"":[{""name"":""龙经理"",""mobile"":""18011040517"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":3,""jname"":""高薪聘客户经理 （双休 ）"",""contacts"":[{""name"":""龙经理"",""mobile"":""18011040517"",""telephone"":"""",""position"":"""",""email"":""""}]}]"
a000002,no company,0,0,71,[gj],"[[], [], [], [], [], [gj_105220653]]",[],"[{""from"":10000,""to"":-1}]",[15],[保健按摩],[4],[民营],,[],"[{""qty"":268,""jname"":""服务员包吃住3000多月"",""contacts"":[{""name"":""周亿为您服务"",""mobile"":""18822929779"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":200,""jname"":""赚钱钱钱沐足保健推油技师多名包吃住"",""contacts"":[{""name"":""周亿为您服务"",""mobile"":""18822929779"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":200,""jname"":""收银员2500月加提成奖金"",""contacts"":[{""name"":""周亿为您服务"",""mobile"":""18822929779"",""telephone"":"""",""position"":"""",""email"":""""}]}]"
a000003,no company,0,0,4,[gj],"[[], [], [], [], [], [gj_106222595]]",[],"[{""from"":10000,""to"":-1}]",[54],[农/林/牧/渔],[10],[上市公司],,[],"[{""qty"":5,""jname"":""520生活圈线上线下连锁机构"",""contacts"":[{""name"":""李总"",""mobile"":""15985999363"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":5,""jname"":""片区经理"",""contacts"":[{""name"":""李总"",""mobile"":""15985999363"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":2,""jname"":""前台客服"",""contacts"":[{""name"":""李总"",""mobile"":""15985999363"",""telephone"":"""",""position"":"""",""email"":""""}]}]"
a000004,no company,0,0,72,[gj],"[[], [], [], [], [], [gj_106470362]]",[],"[{""from"":1000,""to"":9999}]",[58],[生产/制造],[11],[股份制企业],,[],"[{""qty"":10,""jname"":""3D打印产品设计师 高薪"",""contacts"":[{""name"":""合小姐"",""mobile"":""15096789362"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":10,""jname"":""首饰设计师"",""contacts"":[]},{""qty"":5,""jname"":""外贸业务员"",""contacts"":[]}]"
a000005,no company,0,0,10,"[gj, lg]","[[], [], [], [lg_263990], [], [gj_106396627]]","[, 广州]","[{""from"":2000,""to"":-1}, {""from"":1000,""to"":9999}]","[0, 6]","[建筑/装修, O2O]","[0, 4]","[, 民营]",,[],"[{""qty"":5,""jname"":""急招家装销售精英"",""contacts"":[{""name"":""吴小姐"",""mobile"":""13662306315"",""telephone"":"""",""position"":"""",""email"":""""}]},{""qty"":3,""jname"":""销售代表/储备干部/应届毕业生"",""contacts"":[]},{""qty"":2,""jname"":""财务助理"",""contacts"":[]}]"
a000006,no company,0,0,272,"[zl, gj, lg]","[[zl_CC280777383, zl_CZ280777380], [], [], [lg_246663], [], [gj_105341501]]","[, 合肥]","[{""from"":2000,""to"":-1}, {""from"":500,""to"":999}, {""from"":10000,""to"":-1}]","[0, 65, 2, 10]","[金融/银行/投资/基金/证券, 互联网/电子商务, 基金/证券/期货/投资, 信托/担保/拍卖/典当, 金融]","[0, 4]","[, 民营]",,[],"[{""qty"":20,""jname"":""客户经理"",""contacts"":[]},{""qty"":10,""jname"":""五险一金高薪诚聘客户经理"",""contacts"":[]},{""qty"":10,""jname"":""五险一金高薪招聘客户经理"",""contacts"":[]}]"
a000007,no company,0,0,27,[gj],"[[], [], [], [], [], [gj_106404637]]",[],"[{""from"":10000,""to"":-1}]",[41],[酒店/餐饮],[4],[民营],,[],"[{""qty"":12,""jname"":""医护师"",""contacts"":[]},{""qty"":10,""jname"":""专科医生""},{""qty"":8,""jname"":""家政服务人员"",""contacts"":[]}]"
a000008,no company,4,0,120,[lg],"[[], [], [], [lg_132176], [], []]",[北京],"[{""from"":500,""to"":2000}]",[0],[企业服务],[0],[],,"[{""qty"":1,""jname"":""薪酬业务专员"",""contacts"":[]},{""qty"":1,""jname"":""薪酬业务专员（亦庄onsite）"",""contacts"":[]},{""qty"":1,""jname"":""会计业务专员（出纳方向，14号线九龙山）"",""contacts"":[]}]","[{""qty"":80,""jname"":""银行大堂经理"",""contacts"":[{""name"":"""",""mobile"":"""",""telephone"":"""",""position"":"""",""email"":""qhdzhaopin@zrfesco.com""}]},{""qty"":50,""jname"":""大堂服务经理"",""contacts"":[]},{""qty"":15,""jname"":""银行大堂经理"",""contacts"":[]}]"
a000009,914403098787654342,1,0,39,[zl],"[[zl_CZ723210140], [], [], [], [], []]",[深圳],"[{""from"":500,""to"":999}]",[33],[电子技术/半导体/集成电路],[4],[民营],0755-33671893,"[{""qty"":1,""jname"":""会计"",""contacts"":[]}]","[{""qty"":5,""jname"":""电源高级研发工程师"",""contacts"":[]},{""qty"":5,""jname"":""五金冲压模具工"",""contacts"":[]},{""qty"":3,""jname"":""研发工程师""}]"
a000010,91310675679078676P,0,0,121,[lp],"[[], [], [lp_9359580], [], [], []]",[上海],"[{""from"":2000,""to"":5000}]",[13],[制药/生物工程],[5],[外商独资·外企办事处],2123021533,[],"[{""qty"":3,""jname"":""医药代表/专员-肿瘤产品"",""contacts"":[]},{""qty"":2,""jname"":""Marketing Coordinator （Contractor）"",""contacts"":[]},{""qty"":2,""jname"":""QA Specialist/Manager"",""contacts"":[]}]"
